Datasheet|Image|DK Part #|Mfr Part #|Mfr|Supplier|Description|Stock|Price|@ qty|Min Qty| Package|Series|Part Status|Connector Type|Contact Type|Style|Number of Positions|Number of Positions Loaded|Pitch - Mating|Number of Rows|Row Spacing - Mating|Mounting Type|Termination|Fastening Type|Contact Finish - Mating|Contact Finish Thickness - Mating|Insulation Color|Insulation Height|Contact Length - Post|Operating Temperature|Material Flammability Rating|Contact Finish - Post|Mated Stacking Heights|Ingress Protection|Features|Current Rating (Amps)|Voltage Rating
-|-|SFML-110-01-F-D-A-ND|SFML-110-01-F-D-A|Samtec Inc.|Samtec Inc.|CONN RCPT 20POS 0.05 GOLD PCB|0|Active|0|0|Bulk|Tiger Eye™ SFML|Active|Receptacle|Female Socket|Board to Board or Cable|20|All|"0.050"" (1.27mm)"|2|"0.050"" (1.27mm)"|Through Hole|Solder|Locking Ramp|Gold|3.00µin (0.076µm)|Black|"0.180"" (4.57mm)"|"0.120"" (3.05mm)"|-55°C ~ 125°C|UL94 V-0|Tin|-|-|Board Guide|3.2A per Contact|250VAC
-|-|SFML-110-01-S-D-P-ND|SFML-110-01-S-D-P|Samtec Inc.|Samtec Inc.|CONN RCPT 20POS 0.05 GOLD PCB|0|Active|0|0|Bulk|Tiger Eye™ SFML|Active|Receptacle|Female Socket|Board to Board or Cable|20|All|"0.050"" (1.27mm)"|2|"0.050"" (1.27mm)"|Through Hole|Solder|Locking Ramp|Gold|30.0µin (0.76µm)|Black|"0.180"" (4.57mm)"|"0.120"" (3.05mm)"|-55°C ~ 125°C|UL94 V-0|Tin|-|-|Pick and Place|3.2A per Contact|250VAC
-|-|SFML-110-T2-H-D-A-TR-ND|SFML-110-T2-H-D-A-TR|Samtec Inc.|Samtec Inc.|CONN RCPT 20POS 0.05 GOLD SMD|0|Active|0|0|Tape & Reel (TR)|Tiger Eye™ SFML|Active|Receptacle|Female Socket|Board to Board or Cable|20|All|"0.050"" (1.27mm)"|2|"0.050"" (1.27mm)"|Surface Mount|Solder|Locking Ramp|Gold|30.0µin (0.76µm)|Black|"0.185"" (4.70mm)"|-|-55°C ~ 125°C|UL94 V-0|Gold|-|-|Board Guide|3.2A per Contact|250VAC
-|-|SFML-110-T2-L-D-A-K-TR-ND|SFML-110-T2-L-D-A-K-TR|Samtec Inc.|Samtec Inc.|CONN RCPT 20POS 0.05 GOLD SMD|0|3.80204|0|675|Tape & Reel (TR)|Tiger Eye™ SFML|Active|Receptacle|Female Socket|Board to Board or Cable|20|All|"0.050"" (1.27mm)"|2|"0.050"" (1.27mm)"|Surface Mount|Solder|Locking Ramp|Gold|10.0µin (0.25µm)|Black|"0.185"" (4.70mm)"|-|-55°C ~ 125°C|UL94 V-0|Tin|-|-|"Board Guide, Pick and Place"|3.2A per Contact|250VAC
-|-|SFML-110-T2-SM-D-P-TR-ND|SFML-110-T2-SM-D-P-TR|Samtec Inc.|Samtec Inc.|CONN RCPT 20POS 0.05 GOLD SMD|0|4.5192|0|550|Tape & Reel (TR)|Tiger Eye™ SFML|Active|Receptacle|Female Socket|Board to Board or Cable|20|All|"0.050"" (1.27mm)"|2|"0.050"" (1.27mm)"|Surface Mount|Solder|Locking Ramp|Gold|30.0µin (0.76µm)|Black|"0.185"" (4.70mm)"|-|-55°C ~ 125°C|UL94 V-0|Tin|-|-|Pick and Place|3.2A per Contact|250VAC
-|-|SFML-112-T2-S-D-A-ND|SFML-112-T2-S-D-A|Samtec Inc.|Samtec Inc.|CONN RCPT 24POS 0.05 GOLD SMD|0|4.6032|0|500|Tube|Tiger Eye™ SFML|Active|Receptacle|Female Socket|Board to Board or Cable|24|All|"0.050"" (1.27mm)"|2|"0.050"" (1.27mm)"|Surface Mount|Solder|Locking Ramp|Gold|30.0µin (0.76µm)|Black|"0.185"" (4.70mm)"|-|-55°C ~ 125°C|UL94 V-0|Tin|-|-|Board Guide|3.2A per Contact|250VAC
-|-|SFML-110-T1-S-D-P-ND|SFML-110-T1-S-D-P|Samtec Inc.|Samtec Inc.|CONN RCPT 20POS 0.05 GOLD PCB|0|8.04|0|1|Tube|Tiger Eye™ SFML|Active|Receptacle|Female Socket|Board to Board or Cable|20|All|"0.050"" (1.27mm)"|2|"0.050"" (1.27mm)"|Through Hole|Solder|Locking Ramp|Gold|30.0µin (0.76µm)|Black|"0.180"" (4.57mm)"|"0.120"" (3.05mm)"|-55°C ~ 125°C|UL94 V-0|Tin|-|-|Pick and Place|3.2A per Contact|250VAC
-|-|SFML-110-T1-SM-D-LC-K-ND|SFML-110-T1-SM-D-LC-K|Samtec Inc.|Samtec Inc.|CONN RCPT 20POS 0.05 GOLD PCB|0|8.19|0|1|Tube|Tiger Eye™ SFML|Active|Receptacle|Female Socket|Board to Board or Cable|20|All|"0.050"" (1.27mm)"|2|"0.050"" (1.27mm)"|Through Hole|Solder|Locking Ramp|Gold|30.0µin (0.76µm)|Black|"0.180"" (4.57mm)"|"0.120"" (3.05mm)"|-55°C ~ 125°C|UL94 V-0|Tin|-|-|"Board Lock, Pick and Place"|3.2A per Contact|250VAC
-|-|SFML-110-L1-L-D-A-ND|SFML-110-L1-L-D-A|Samtec Inc.|Samtec Inc.|CONN RCPT 20POS 0.05 GOLD PCB|0|Active|0|0|Bulk|Tiger Eye™ SFML|Active|Receptacle|Female Socket|Board to Board or Cable|20|All|"0.050"" (1.27mm)"|2|"0.050"" (1.27mm)"|Through Hole|Solder|Locking Ramp|Gold|10.0µin (0.25µm)|Black|"0.180"" (4.57mm)"|"0.120"" (3.05mm)"|-55°C ~ 125°C|UL94 V-0|Tin|-|-|Board Guide|3.2A per Contact|250VAC
-|-|SFML-110-T1-SM-D-A-P-ND|SFML-110-T1-SM-D-A-P|Samtec Inc.|Samtec Inc.|CONN RCPT 20POS 0.05 GOLD PCB|0|Active|0|0|Bulk|Tiger Eye™ SFML|Active|Receptacle|Female Socket|Board to Board or Cable|20|All|"0.050"" (1.27mm)"|2|"0.050"" (1.27mm)"|Through Hole|Solder|Locking Ramp|Gold|30.0µin (0.76µm)|Black|"0.180"" (4.57mm)"|"0.120"" (3.05mm)"|-55°C ~ 125°C|UL94 V-0|Tin|-|-|"Board Guide, Pick and Place"|3.2A per Contact|250VAC
