Datasheet|Image|DK Part #|Mfr Part #|Mfr|Supplier|Description|Stock|Price|@ qty|Min Qty| Package|Series|Part Status|Transistor Type|Current - Collector (Ic) (Max)|Voltage - Collector Emitter Breakdown (Max)|"Vce Saturation (Max) @ Ib, Ic"|Current - Collector Cutoff (Max)|"DC Current Gain (hFE) (Min) @ Ic, Vce"|Power - Max|Frequency - Transition|Operating Temperature|Mounting Type|Package / Case|Supplier Device Package
https://www.onsemi.com/pdf/datasheet/bc846awt1-d.pdf|"//media.digikey.com/Renders/On%20Semi%20Renders/Mfg_488;-419B-02;-DF,-DW,-SQ;-6.jpg"|"SBC847BWT1GOSTR-ND,SBC847BWT1GOSCT-ND,SBC847BWT1GOSDKR-ND,2156-SBC847BWT1G-OS-ND"|SBC847BWT1G|onsemi|"onsemi,Rochester Electronics, LLC"|TRANS NPN 45V 100MA SC88/SC70-6|"192,000"|0.42|0|1|"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®,Bulk"|"Automotive, AEC-Q101"|Active|NPN|100 mA|45 V|"600mV @ 5mA, 100mA"|15nA (ICBO)|"200 @ 2mA, 5V"|150 mW|100MHz|-55°C ~ 150°C (TJ)|Surface Mount|"6-TSSOP, SC-88, SOT-363"|SC-88/SC70-6/SOT-363
-|-|2156-BC856BT115-ND|BC856BT115|NXP USA Inc.|"Rochester Electronics, LLC"|SMALL SIGNAL BIPOLAR TRANSISTOR|0|0.0312|0|8013|Bulk|"Automotive, AEC-Q101"|Active|PNP|100 mA|65 V|"400mV @ 5mA, 100mA"|15nA (ICBO)|"220 @ 2mA, 5V"|150 mW|100MHz|150°C (TJ)|Surface Mount|"SC-75, SOT-416"|SC-75
https://rocelec.widen.net/view/pdf/u9jipuqncs/PHGLS30472-1.pdf?t.download=true&u=5oefqw|//media.digikey.com/Photos/Rochester/MFG_DCG010-TL-E.jpg|2156-BC847CW/DG/B2115-ND|BC847CW/DG/B2115|NXP USA Inc.|"Rochester Electronics, LLC"|SMALL SIGNAL BIPOLAR TRANSISTOR|0|0.02|0|12500|Bulk|"Automotive, AEC-Q101"|Active|NPN|100 mA|45 V|"400mV @ 5mA, 100mA"|15nA (ICBO)|"420 @ 2mA, 5V"|200 mW|100MHz|150°C (TJ)|Surface Mount|"SC-70, SOT-323"|SOT-323
https://rocelec.widen.net/view/pdf/9tqamxll9r/ONSMS09474-1.pdf?t.download=true&u=5oefqw|//media.digikey.com/Photos/Rochester/MFG_MMBZ5221BLT1G.jpg|2156-SBC848BLT1-ND|SBC848BLT1|onsemi|"Rochester Electronics, LLC"|SMALL SIGNAL BIPOLAR TRANSISTOR|0|0.02|0|6000|Bulk|"Automotive, AEC-Q101"|Active|NPN|100 mA|30 V|"600mV @ 5mA, 100mA"|15nA (ICBO)|"200 @ 2mA, 5V"|300 mW|100MHz|-55°C ~ 150°C (TJ)|Surface Mount|"TO-236-3, SC-59, SOT-23-3"|SOT-23-3 (TO-236)
https://assets.nexperia.com/documents/data-sheet/BCX70.pdf|//media.digikey.com/Photos/Nexperia/MFG_SOT23.jpg|"2156-BCX70J,235-ND"|"BCX70J,235"|NXP USA Inc.|"Rochester Electronics, LLC"|"SMALL SIGNAL BIPOLAR TRANSISTOR,"|0|0.02|0|13000|Bulk|"Automotive, AEC-Q101"|Active|NPN|100 mA|45 V|"550mV @ 1.25mA, 50mA"|20nA (ICBO)|"250 @ 2mA, 5V"|250 mW|250MHz|150°C (TJ)|Surface Mount|"TO-236-3, SC-59, SOT-23-3"|TO-236AB
https://rocelec.widen.net/view/pdf/9tqamxll9r/ONSMS09474-1.pdf?t.download=true&u=5oefqw|//media.digikey.com/Photos/Rochester/MFG_MMBZ5221BLT1G.jpg|2156-SBC846BLT3-ND|SBC846BLT3|onsemi|"Rochester Electronics, LLC"|SMALL SIGNAL BIPOLAR TRANSISTOR|0|0.02|0|10000|Bulk|"Automotive, AEC-Q101"|Active|NPN|100 mA|65 V|"600mV @ 5mA, 100mA"|15nA (ICBO)|"200 @ 2mA, 5V"|300 mW|100MHz|-55°C ~ 150°C (TJ)|Surface Mount|"TO-236-3, SC-59, SOT-23-3"|SOT-23-3 (TO-236)
https://rocelec.widen.net/view/pdf/bsnp2e3fe9/PHGLS25601-1.pdf?t.download=true&u=5oefqw|//media.digikey.com/Photos/Rochester/MFG_DCG010-TL-E.jpg|2156-BC846BW/DG/B2115-ND|BC846BW/DG/B2115|NXP USA Inc.|"Rochester Electronics, LLC"|SMALL SIGNAL BIPOLAR TRANSISTOR|0|0.02|0|12500|Bulk|"Automotive, AEC-Q101"|Active|NPN|100 mA|65 V|"400mV @ 5mA, 100mA"|15nA (ICBO)|"200 @ 2mA, 5V"|200 mW|100MHz|150°C (TJ)|Surface Mount|"SC-70, SOT-323"|SOT-323
-|"//media.digikey.com/Renders/Rohm%20Renders/846;UMT3;UM,UA,WT;3.jpg"|"2SC4081U3HZGT106QTR-ND,2SC4081U3HZGT106QCT-ND,2SC4081U3HZGT106QDKR-ND"|2SC4081U3HZGT106Q|Rohm Semiconductor|Rohm Semiconductor|2SC4081U3HZG IS A TRANSISTOR WIT|0|0.33|0|1|"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®"|"Automotive, AEC-Q101"|Active|NPN|150 mA|50 V|"400mV @ 5mA, 50mA"|100nA (ICBO)|"120 @ 1mA, 6V"|200 mW|180MHz|150°C (TJ)|Surface Mount|"SC-70, SOT-323"|UMT3
https://4donline.ihs.com/images/VipMasterIC/IC/PHGL/PHGLS24396/PHGLS24396-1.pdf?hkey=EC6BD57738AE6E33B588C5F9AD3CEFA7|-|"2156-BC847BMB,315-ND"|"BC847BMB,315"|NXP Semiconductors|"Rochester Electronics, LLC"|"SMALL SIGNAL BIPOLAR TRANSISTOR,"|0|0.01872|0|7400|Bulk|"Automotive, AEC-Q101"|Active|NPN|100 mA|45 V|"400mV @ 5mA, 100mA"|15nA (ICBO)|"200 @ 2mA, 5V"|250 mW|100MHz|150°C (TJ)|Surface Mount|3-XFDFN|DFN1006B-3
https://d1d2qsbl8m0m72.cloudfront.net/en/products/databook/datasheet/discrete/transistor/bipolar/2sa1576u3hzgt106r-e.pdf|"//media.digikey.com/Renders/Rohm%20Renders/846;UMT3;UM,UA,WT;3.jpg"|"846-2SA1576U3HZGT106RTR-ND,846-2SA1576U3HZGT106RCT-ND,846-2SA1576U3HZGT106RDKR-ND"|2SA1576U3HZGT106R|Rohm Semiconductor|Rohm Semiconductor|GENERAL PURPOSE TRANSISTOR (-50V|0|0.33|0|1|"Tape & Reel (TR),Cut Tape (CT),Digi-Reel®"|"Automotive, AEC-Q101"|Active|PNP|150 mA|50 V|"500mV @ 5mA, 5mA"|100nA (ICBO)|"120 @ 1mA, 6V"|200 mW|140MHz|150°C (TJ)|Surface Mount|"SC-70, SOT-323"|UMT3
